"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"2,6      (M79.48) Hypertrophy of (infrapatellar)
86       fat pad, other","0","2","2","0.0022727272727273","0"
"2,6      (M79.5) Residual foreign body in soft
87       tissue","1","1","2","0.0022727272727273","0"
"2,6      (M81.20) Osteoporosis of disuse,
88       multiple sites","0","2","2","0.0022727272727273","0"
"2,6      (M79.01) Rheumatism, unspecified,
89       shoulder region","1","1","2","0.0022727272727273","0"
"2,6      (M71.26) Synovial cyst of popliteal
90       space [Baker], lower leg","0","2","2","0.0022727272727273","0"
"2,6      (I45.2) Bifascicular block 91","0","2","2","0.0022727272727273","0"
"2,6      (M41.94) Scoliosis, unspecified, thoracic
92       region","0","2","2","0.0022727272727273","0"
"2,6      (K00.2) Abnormalities of size and form of
93       teeth","1","1","2","0.0022727272727273","0"
"2,6      (I34.0) Mitral (valve) insufficiency 94","0","2","2","0.0022727272727273","0"
"2,6      (M12.07) Chronic postrheumatic
95       arthropathy [jaccoud], ankle and foot","0","2","2","0.0022727272727273","0"
"2,6      (K83.0) Cholangitis
96","1","1","2","0.0022727272727273","0"
"2,6      (G11.9) Hereditary ataxia, unspecified 97","0","2","2","0.0022727272727273","0"
"2,6      (H21.9) Disorder of iris and ciliary body,
98       unspecified","1","1","2","0.0022727272727273","0"
"2,6      (L92.8) Other granulomatous disorders
99       of skin and subcutaneous tissue","2","0","2","0.0022727272727273","0"
"2,7      (F41.3) Other mixed anxiety disorders 00","1","1","2","0.0022727272727273","0"
"2,7      (F78.0) Other mental retardation with the 01       statement of no, or minimal, impairment","0","2","2","0.0022727272727273","0"
"2,7      (F31.0) Bipolar affective disorder, 02       current episode hypomanic","0","2","2","0.0022727272727273","0"
"2,7      (L40.4) Guttate psoriasis 03","2","0","2","0.0022727272727273","0"
"2,7      (L41.1) Pityriasis lichenoides chronica 04","1","1","2","0.0022727272727273","0"
"2,7      (D00.0) Carcinoma in situ of lip, oral 05       cavity and pharynx","0","2","2","0.0022727272727273","0"
"2,7      (F52.9) Unspecified sexual dysfunction, 06       not caused by organic disorder or","2","0","2","0.0022727272727273","0"
"2,7      (G83.1) Monoplegia of lower limb 07","0","2","2","0.0022727272727273","0"
"2,7      (F84.9) Pervasive developmental 08       disorder, unspecified","2","0","2","0.0022727272727273","0"
"2,7      (H49.0) Third [oculomotor] nerve palsy 09","1","1","2","0.0022727272727273","0"
"2,7      (A02.9) Salmonella infection, unspecified 10","2","0","2","0.0022727272727273","0"
"2,7      (R57.8) Other shock 11","2","0","2","0.0022727272727273","0"
"2,7      (N13.4) Hydroureter
12","0","2","2","0.0022727272727273","0"
"2,7      (V09.0) Pedestrian injured in nontraffic
13       accident involving other and unspecified","2","0","2","0.0022727272727273","0"
"2,7      (N83.3) Acquired atrophy of ovary and
14       fallopian tube","0","2","2","0.0022727272727273","0"
"2,7      (S70.1) Contusion of thigh 15","1","1","2","0.0022727272727273","0"
"2,7      (Q18.9) Congenital malformation of face
16       and neck, unspecified","0","2","2","0.0022727272727273","0"
"2,7      (Q67.4) Other congenital deformities of
17       skull, face and jaw","2","0","2","0.0022727272727273","0"
"2,7      (Q62.3) Other obstructive defects of
18       renal pelvis and ureter","0","2","2","0.0022727272727273","0"
"2,7      (S05.4) Penetrating wound of orbit with
19       or without foreign body","1","1","2","0.0022727272727273","0"
"2,7      (Q13.8) Other congenital malformations
20       of anterior segment of eye","2","0","2","0.0022727272727273","0"
"2,7      (O99.4) Diseases of the circulatory
21       system complicating pregnancy,","0","2","2","0.0022727272727273","0"
"2,7      (O25) Malnutrition in pregnancy 22","0","2","2","0.0022727272727273","0"
"2,7      (N30.2) Other chronic cystitis 23","2","0","2","0.0022727272727273","0"
"2,7      (N89.5) Stricture and atresia of vagina 24","0","2","2","0.0022727272727273","0"
"2,7      (O23.3) Infections of other parts of
25       urinary tract in pregnancy","0","2","2","0.0022727272727273","0"
"2,7      (O15.1) Eclampsia in labour 26","0","2","2","0.0022727272727273","0"
"2,7      (N84.2) Polyp of vagina 27","0","2","2","0.0022727272727273","0"
"2,7      (N84.3) Polyp of vulva 28","0","2","2","0.0022727272727273","0"
"2,7      (S06.50) Traumatic subdural
29       haemorrhage, without open intracranial","2","0","2","0.0022727272727273","0"
"2,7      (O98.0) Tuberculosis complicating
30       pregnancy, childbirth and the","0","2","2","0.0022727272727273","0"
"2,7      (P39.9) Infection specific to the perinatal
31       period, unspecified","1","1","2","0.0022727272727273","0"
"2,7      (M95.4) Acquired deformity of chest and
32       rib","2","0","2","0.0022727272727273","0"
"2,7      (M89.2) Other disorders of bone
33       development and growth","1","1","2","0.0022727272727273","0"
"2,7      (M84.3) Stress fracture, not elsewhere
34       classified","2","0","2","0.0022727272727273","0"
"2,7      (O80.0) Spontaneous vertex delivery 35","0","2","2","0.0022727272727273","0"
"2,7      (M54.23) Cervicalgia, cervicothoracic
36       region","1","1","2","0.0022727272727273","0"
"2,7      (H40.4) Glaucoma secondary to eye
56       inflammation","0","2","2","0.0022727272727273","0"
"2,7      (K86.1) Other chronic pancreatitis 57","1","1","2","0.0022727272727273","0"
"2,7      (J37.1) Chronic laryngotracheitis 58","0","2","2","0.0022727272727273","0"
"2,7      (I51.0) Cardiac septal defect, acquired 59","1","1","2","0.0022727272727273","0"
"2,7      (H60.4) Cholesteatoma of external ear 60","2","0","2","0.0022727272727273","0"
"2,7      (L55.1) Sunburn of second degree 61","2","0","2","0.0022727272727273","0"
"2,7      (L81.8) Other specified disorders of
62       pigmentation","1","1","2","0.0022727272727273","0"
"2,7      (E10.0) Insulin-dependent diabetes
63       mellitus with coma","0","2","2","0.0022727272727273","0"
"2,7      (F78.1) Other mental retardation,
64       significant impairment of behaviour","2","0","2","0.0022727272727273","0"
"2,7      (H44.9) Disorder of globe, unspecified 65","1","1","2","0.0022727272727273","0"
"2,7      (E73.8) Other lactose intolerance 66","2","0","2","0.0022727272727273","0"
"2,7      (G81.0) Flaccid hemiplegia 67","1","1","2","0.0022727272727273","0"
"2,7      (I95.2) Hypotension due to drugs 68","1","1","2","0.0022727272727273","0"
"2,7      (E04.2) Nontoxic multinodular goitre 69","1","1","2","0.0022727272727273","0"
"2,7      (F25.8) Other schizoaffective disorders 70","0","2","2","0.0022727272727273","0"
"2,7      (G58.0) Intercostal neuropathy 71","0","2","2","0.0022727272727273","0"
"2,7      (G51.3) Clonic hemifacial spasm 72","2","0","2","0.0022727272727273","0"
"2,7      (K75.2) Nonspecific reactive hepatitis 73","2","0","2","0.0022727272727273","0"
"2,7      (A99) Unspecified viral haemorrhagic
74       fever","2","0","2","0.0022727272727273","0"
"2,7      (R47.0) Dysphasia and aphasia 75","2","0","2","0.0022727272727273","0"
"2,7      (O99.7) Diseases of the skin and
76       subcutaneous tissue complicating","0","2","2","0.0022727272727273","0"
"2,7      (P00.9) Fetus and newborn affected by
77       unspecified maternal condition","0","2","2","0.0022727272727273","0"
"2,7      (S32.7) Multiple fractures of lumbar
78       spine and pelvis","0","2","2","0.0022727272727273","0"
"2,7      (Q37.5) Cleft hard and soft palate with
79       unilateral cleft lip","2","0","2","0.0022727272727273","0"
"2,7      (O91.0) Infection of nipple associated
80       with childbirth","0","2","2","0.0022727272727273","0"
"2,7      (O98.8) Other maternal infectious and
81       parasitic diseases complicating","0","2","2","0.0022727272727273","0"
"2,7      (N32.9) Bladder disorder, unspecified 82","1","1","2","0.0022727272727273","0"
"2,7      (N33.0) Tuberculous cystitis 83","0","2","2","0.0022727272727273","0"
"2,7      (M41.8) Other forms of scoliosis 84","0","2","2","0.0022727272727273","0"
"2,7      (M62.26) Ischaemic infarction of muscle,
85       lower leg","1","1","2","0.0022727272727273","0"
"2,7      (M21.97) Acquired deformity of limb,
86       unspecified, ankle and foot 1","2","0","2","0.0022727272727273","0"
"2,7      (M65.03) Abscess of tendon sheath,
87       forearm","0","2","2","0.0022727272727273","0"
"2,7      (M75.3) Calcific tendinitis of shoulder 88","0","2","2","0.0022727272727273","0"
"2,7      (M72.53) Fasciitis, not elsewhere
89       classified, forearm","0","2","2","0.0022727272727273","0"
"2,7      (M62.6) Muscle strain 90","1","1","2","0.0022727272727273","0"
"2,7      (M70.89) Other soft tissue disorder
91       related to use overuse and pressure, site","0","2","2","0.0022727272727273","0"
"2,7      (M30.0) Polyarteritis nodosa 92","0","2","2","0.0022727272727273","0"
"2,7      (K62.4) Stenosis of anus and rectum 93","1","1","2","0.0022727272727273","0"
"2,7      (I44.3) Other and unspecified
94       atrioventricular block","1","1","2","0.0022727272727273","0"
"2,7      (L85.9) Epidermal thickening,
95       unspecified","1","1","2","0.0022727272727273","0"
"2,7      (M60.2) Foreign body granuloma of soft
96       tissue, not elsewhere classified","1","1","2","0.0022727272727273","0"
"2,7      (K43.1) Ventral hernia with gangrene 97","2","0","2","0.0022727272727273","0"
"2,7      (H44.5) Degenerated conditions of globe 98","2","0","2","0.0022727272727273","0"
"2,7      (K52.1) Toxic gastroenteritis and colitis 99","0","2","2","0.0022727272727273","0"
"2,8      (J17.1) Pneumonia in viral diseases 00       classified elsewhere","0","2","2","0.0022727272727273","0"
"2,8      (H58.1) Visual disturbances in diseases 01       classified elsewhere","1","1","2","0.0022727272727273","0"
"2,8      (K80.3) Calculus of bile duct with 02       cholangitis","0","2","2","0.0022727272727273","0"
"2,8      (K45.0) Other specified abdominal 03       hernia with obstruction, without","2","0","2","0.0022727272727273","0"
"2,8      (K46.0) Unspecified abdominal hernia 04       with obstruction, without gangrene","1","1","2","0.0022727272727273","0"
"2,8      (E30.8) Other disorders of puberty 05","0","2","2","0.0022727272727273","0"
"2,8      (J18.2) Hypostatic pneumonia, 06       unspecified","1","1","2","0.0022727272727273","0"
"2,8      (K29.4) Chronic atrophic gastritis 07","1","1","2","0.0022727272727273","0"
"2,8      (I22.0) Subsequent myocardial infarction 08       of anterior wall","1","1","2","0.0022727272727273","0"
"2,8      (L41.9) Parapsoriasis, unspecified 09","0","2","2","0.0022727272727273","0"
"2,8      (F20.4) Post-schizophrenic depression 10","2","0","2","0.0022727272727273","0"
"2,8      (I89.9) Noninfective disorder of
11       lymphatic vessels and lymph nodes,","1","1","2","0.0022727272727273","0"
"2,8      (F15.3) Mental and behavioural
12       disorders due to use of other stimulants","2","0","2","0.0022727272727273","0"
"2,8      (D16.2) Benign neoplasm of long bones
13       of lower limb","1","1","2","0.0022727272727273","0"
"2,8      (E87.0) Hyperosmolality and
14       hypernatraemia","2","0","2","0.0022727272727273","0"
"2,8      (H50.3) Intermittent heterotropia 15","2","0","2","0.0022727272727273","0"
"2,8      (G56.1) Other lesions of median nerve 16","1","1","2","0.0022727272727273","0"
"2,8      (B94.8) Sequelae of other specified
17       infectious and parasitic diseases","0","2","2","0.0022727272727273","0"
"2,8      (D43.2) Neoplasm of uncertain or
18       unknown behavior of brain, unspecified","1","1","2","0.0022727272727273","0"
"2,8      (H83.0) Labyrinthitis
19","1","1","2","0.0022727272727273","0"
"2,8      (C77.9) Secondary and unspecified
20       malignant neoplasm of lymph node,","0","2","2","0.0022727272727273","0"
"2,8      (B05.2) Measles complicated by
21       pneumonia","2","0","2","0.0022727272727273","0"
"2,8      (D22.3) Melanocytic naevi of other and
22       unspecified parts of face","0","2","2","0.0022727272727273","0"
"2,8      (A17.1) Meningeal tuberculoma 23","2","0","2","0.0022727272727273","0"
"2,8      (Z85.4) Personal history of malignant
24       neoplasm of genital organs","0","2","2","0.0022727272727273","0"
"2,8      (Z23.8) Need for immunization against
25       other single bacterial diseases","1","1","2","0.0022727272727273","0"
"2,8      (Z42.1) Follow-up care involving plastic
26       surgery of breast","0","2","2","0.0022727272727273","0"
"2,8      (S59.7) Multiple injuries of forearm 27","2","0","2","0.0022727272727273","0"
"2,8      (V89.9) Person injured in unspecified
28       vehicle accident","0","2","2","0.0022727272727273","0"
"2,8      (S50.1) Contusion of other and
29       unspecified parts of forearm","1","1","2","0.0022727272727273","0"
"2,8      (T31.4) Burns involving 40-49% of body
30       surface","0","2","2","0.0022727272727273","0"
"2,8      (T01.6) Open wounds involving multiple
31       regions of upper limb(s) with lower limb","2","0","2","0.0022727272727273","0"
"2,8      (S01.2) Open wound of nose 32","2","0","2","0.0022727272727273","0"
"2,8      (S52.1) Fracture of upper end of radius 33","1","1","2","0.0022727272727273","0"
"2,8      (R06.4) Hyperventilation
34","1","1","2","0.0022727272727273","0"
"2,8      (P58.9) Neonatal jaundice due to
35       excessive haemolysis, unspecified","1","1","2","0.0022727272727273","0"
"2,8      (S94.3) Injury of cutaneous sensory
36       nerve at ankle and foot level","0","2","2","0.0022727272727273","0"
"2,8      (Q14.1) Congenital malformation of
37       retina","0","2","2","0.0022727272727273","0"
"2,8      (T26.0) Burn of eyelid and periocular
38       area","1","1","2","0.0022727272727273","0"
"2,8      (N98.8) Other complications associated
39       with artificial fertilization","1","1","2","0.0022727272727273","0"
"2,8      (P51.8) Other umbilical haemorrhages of
40       newborn","2","0","2","0.0022727272727273","0"
"2,8      (S32.70) Multiple fractures of lumbar
41       spine and pelvis, closed","0","2","2","0.0022727272727273","0"
"2,8      (S06.51) Traumatic subdural
42       haemorrhage, with open intracranial","1","1","2","0.0022727272727273","0"
"2,8      (M79.86) Other specified soft tissue
43       disorders, lower leg","1","1","2","0.0022727272727273","0"
"2,8      (M90.87) Osteopathy in other diseases
44       classified elsewhere, ankle and foot","0","2","2","0.0022727272727273","0"
"2,8      (M71.0) Abscess of bursa 45","1","1","2","0.0022727272727273","0"
"2,8      (M66.44) Spontaneous rupture of other
46       tendons, hand","2","0","2","0.0022727272727273","0"
"2,8      (M20.0) Deformity of finger(s) 47","0","2","2","0.0022727272727273","0"
"2,8      (L74.8) Other eccrine sweat disorders 48","2","0","2","0.0022727272727273","0"
"2,8      (M21.57) Acquired clawhand, clubhand,
49       clawfoot and clubfoot, ankle and foot","1","1","2","0.0022727272727273","0"
"2,8      (K27.1) Peptic ulcer, acute with
50       perforation","0","2","2","0.0022727272727273","0"
"2,8      (M60.28) Foreign body granuloma of soft
51       tissue, other","0","2","2","0.0022727272727273","0"
"2,8      (K10.0) Developmental disorders of jaws 52","1","1","2","0.0022727272727273","0"
"2,8      (K81.1) Chronic cholecystitis 53","2","0","2","0.0022727272727273","0"
"2,8      (K00.9) Disorder of tooth development,
54       unspecified","1","1","2","0.0022727272727273","0"
"2,8      (L50.5) Cholinergic urticaria 55","0","2","2","0.0022727272727273","0"
"2,8      (G83.3) Monoplegia, unspecified 56","2","0","2","0.0022727272727273","0"
"2,8      (H44.0) Purulent endophthalmitis 57","1","1","2","0.0022727272727273","0"
"2,8      (I42.9) Cardiomyopathy, unspecified 58","1","1","2","0.0022727272727273","0"
"2,8      (J69.0) Pneumonitis due to food and
59       vomit","1","1","2","0.0022727272727273","0"
"2,8      (L66.3) Perifolliculitis capitis abscedens 60","0","2","2","0.0022727272727273","0"
"2,8      (K74.0) Hepatic fibrosis 61","1","1","2","0.0022727272727273","0"
"2,8      (K00.5) Hereditary disturbances in tooth
62       structure, not elsewhere classified","1","1","2","0.0022727272727273","0"
"2,8      (F81.3) Mixed disorder of scholastic
63       skills","1","1","2","0.0022727272727273","0"
"2,8      (G71.9) Primary disorder of muscle,
64       unspecified","2","0","2","0.0022727272727273","0"
"2,8      (E85.4) Organ-limited amyloidosis 65","0","2","2","0.0022727272727273","0"
"2,8      (I95.8) Other hypotension 66","1","1","2","0.0022727272727273","0"
"2,8      (G80.4) Ataxic cerebral palsy 67","1","1","2","0.0022727272727273","0"
"2,8      (C62.9) Malignant neoplasm of testis,
68       unspecified","2","0","2","0.0022727272727273","0"
"2,8      (K27.5) Peptic ulcer, chronic or
69       unspecified with perforation","0","2","2","0.0022727272727273","0"
"2,8      (H17.8) Other corneal scars and
70       opacities","0","2","2","0.0022727272727273","0"
"2,8      (F51.3) Sleepwalking [somnambulism] 71","2","0","2","0.0022727272727273","0"
"2,8      (G97.9) Postprocedural disorder of
72       nervous system, unspecified","2","0","2","0.0022727272727273","0"
"2,8      (F60.0) Paranoid personality disorder 73","0","2","2","0.0022727272727273","0"
"2,8      (G00.9) Bacterial meningitis, unspecified 74","2","0","2","0.0022727272727273","0"
"2,8      (B85.0) Pediculosis due to Pediculus
75       humanus capitis","1","1","2","0.0022727272727273","0"
"2,8      (C43.3) Malignant melanoma of other
76       and unspecified parts of face","1","1","2","0.0022727272727273","0"
"2,8      (D31.6) Benign neoplasm of orbit,
77       unspecified","1","1","2","0.0022727272727273","0"
"2,8      (D29.9) Benign neoplasm of male genital
78       organ, unspecified","2","0","2","0.0022727272727273","0"
"2,8      (H48.0) Optic atrophy in diseases
79       classified elsewhere","0","2","2","0.0022727272727273","0"
"2,8      (D69.1) Qualitative platelet defects 80","0","2","2","0.0022727272727273","0"
"2,8      (D13.1) Benign neoplasm of stomach 81","1","1","2","0.0022727272727273","0"
"2,8      (B08.3) Erythema infectiosum [fifth
82       disease]","1","1","2","0.0022727272727273","0"
"2,8      (A19.1) Acute miliary tuberculosis of
83       multiple sites","2","0","2","0.0022727272727273","0"
"2,8      (B99) Other and unspecified infectious
84       diseases","1","1","2","0.0022727272727273","0"
"2,8      (Z35.0) Supervision of pregnancy with
85       history of infertility","0","2","2","0.0022727272727273","0"
"2,8      (Z21) Asymptomatic human
86       immunodeficiency virus [HIV] infection","1","1","2","0.0022727272727273","0"
"2,8      (Z86.7) Personal history of diseases of
87       the circulatory system","2","0","2","0.0022727272727273","0"
"2,8      (Y83.8) Other surgical procedures 88","0","2","2","0.0022727272727273","0"
"2,8      (S19.9) Unspecified injury of neck 89","2","0","2","0.0022727272727273","0"
"2,8      (T31.3) Burns involving 30-39% of body
90       surface","0","2","2","0.0022727272727273","0"
"2,8      (T90.4) Sequelae of injury of eye and
91       orbit","2","0","2","0.0022727272727273","0"
"2,8      (Q42.3) Congenital absence, atresia and
92       stenosis of anus without fistula","2","0","2","0.0022727272727273","0"
"2,8      (S62.81) Fracture of other and
93       unspecified parts of wrist and hand,","2","0","2","0.0022727272727273","0"
"2,8      (R98) Unattended death 94","0","2","2","0.0022727272727273","0"
"2,8      (V02.1) Pedestrian injured in collision
95       with two- or three-wheeled motor","1","1","2","0.0022727272727273","0"
"2,8      (T26.1) Burn of cornea and conjunctival
96       sac","1","1","2","0.0022727272727273","0"
"2,8      (R63.1) Polydipsia
97","2","0","2","0.0022727272727273","0"
"2,8      (Q15.0) Congenital glaucoma 98","0","2","2","0.0022727272727273","0"
"2,8      (S02.90) Fracture of skull and facial
99       bones, part unspecified, closed","1","1","2","0.0022727272727273","0"
"2,9      (S71.1) Open wound of thigh 00","0","2","2","0.0022727272727273","0"
"2,9      (S05.5) Penetrating wound of eyeball 01       with foreign body","2","0","2","0.0022727272727273","0"
"2,9      (Q62.5) Duplication of ureter 02","0","2","2","0.0022727272727273","0"
"2,9      (M66.54) Spontaneous rupture of 03       unspecified tendon, hand","2","0","2","0.0022727272727273","0"
"2,9      (M10.04) Idiopathic gout, hand 04","0","2","2","0.0022727272727273","0"
"2,9      (M54.99) Dorsalgia, unspecified, site 05       unspecified","2","0","2","0.0022727272727273","0"
"2,9      (I42.0) Dilated cardiomyopathy 06","1","1","2","0.0022727272727273","0"
"2,9      (I45.5) Other specified heart block 07","1","1","2","0.0022727272727273","0"
"2,9      (K10.2) Inflammatory conditions of jaws 08","0","2","2","0.0022727272727273","0"
"2,9      (K81.8) Other cholecystitis 09","1","1","2","0.0022727272727273","0"
"2,9      (F44.4) Dissociative motor disorders 10","2","0","2","0.0022727272727273","0"
"2,9      (K14.1) Geographic tongue 11","1","1","2","0.0022727272727273","0"
"2,9      (L12.9) Pemphigoid, unspecified 12","2","0","2","0.0022727272727273","0"
"2,9      (J10.1) Influenza with other respiratory
13       manifestations, influenza virus identified","1","1","2","0.0022727272727273","0"
"2,9      (M01.26) Arthritis in lyme disease, lower
14       leg","0","2","2","0.0022727272727273","0"
"2,9      (K38.8) Other specified diseases of
15       appendix","2","0","2","0.0022727272727273","0"
"2,9      (F45.2) Hypochondriacal disorder 16","2","0","2","0.0022727272727273","0"
"2,9      (L58.1) Chronic radiodermatitis 17","0","2","2","0.0022727272727273","0"
"2,9      (I21.2) Acute transmural myocardial
18       infarction of other sites","1","1","2","0.0022727272727273","0"
"2,9      (K26.6) Duodenal ulcer, chronic or
19       unspecified with both haemorrhage and","1","1","2","0.0022727272727273","0"
"2,9      (J18.1) Lobar pneumonia, unspecified 20","2","0","2","0.0022727272727273","0"
"2,9      (H62.1) Otitis externa in viral diseases
21       classified elsewhere","1","1","2","0.0022727272727273","0"
"2,9      (L23.4) Allergic contact dermatitis due to
22       dyes","2","0","2","0.0022727272727273","0"
"2,9      (C76.0) Malignant neoplasm of head,
23       face and neck","2","0","2","0.0022727272727273","0"
"2,9      (E61.8) Deficiency of other specified
24       nutrient elements","0","2","2","0.0022727272727273","0"
"2,9      (F31.2) Bipolar affective disorder,
25       current episode manic with psychotic","2","0","2","0.0022727272727273","0"
"2,9      (I52.8) Other heart disorders in other
26       diseases classified elsewhere","2","0","2","0.0022727272727273","0"
"2,9      (C49.0) Malignant neoplasm of
27       connective and soft tissue of head, face","1","1","2","0.0022727272727273","0"
"2,9      (G97.8) Other postprocedural disorders
28       of nervous system","1","1","2","0.0022727272727273","0"
"2,9      (B58.2) Toxoplasma
29       meningoencephalitis","0","2","2","0.0022727272727273","0"
"2,9      (H03.1) Involvement of eyelid in other
30       infectious diseases classified elsewhere","1","1","2","0.0022727272727273","0"
"2,9      (A31.0) Pulmonary mycobacterial
31       infection","1","1","2","0.0022727272727273","0"
"2,9      (B78.1) Cutaneous strongyloidiasis 32","2","0","2","0.0022727272727273","0"
"2,9      (D07.6) Carcinoma in situ of other and
33       unspecified male genital organs","2","0","2","0.0022727272727273","0"
"2,9      (F92.0) Depressive conduct disorder 34","0","2","2","0.0022727272727273","0"
"2,9      (A44.9) Bartonellosis, unspecified 35","0","2","2","0.0022727272727273","0"
"2,9      (A36.9) Diphtheria, unspecified 36","0","2","2","0.0022727272727273","0"
"2,9      (D10.1) Benign neoplasm of tongue 37","1","1","2","0.0022727272727273","0"
"2,9      (A30.1) Tuberculoid leprosy 38","2","0","2","0.0022727272727273","0"
"2,9      (Z11.5) Special screening examination
39       for other viral diseases","0","2","2","0.0022727272727273","0"
"2,9      (Z37.0) Single live birth 40","0","2","2","0.0022727272727273","0"
"2,9      (Z95.0) Presence of cardiac pacemaker 41","0","2","2","0.0022727272727273","0"
"2,9      (Z65.9) Problem related to unspecified
42       psychosocial circumstances","0","2","2","0.0022727272727273","0"
"2,9      (Y31) Falling, lying or running before or
43       into moving object, undetermined intent","1","1","2","0.0022727272727273","0"
"2,9      (Y04) Assault by bodily force 44","1","1","2","0.0022727272727273","0"
"2,9      (S60.7) Multiple superficial injuries of
45       wrist and hand","2","0","2","0.0022727272727273","0"
"2,9      (Y58.6) Adverse effects in the
46       therapeutic use of pertussis vaccine,","1","1","2","0.0022727272727273","0"
"2,9      (T04.9) Multiple crushing injuries,
47       unspecified","1","1","2","0.0022727272727273","0"
"2,9      (T25.4) Corrosion of unspecified degree
48       of ankle and foot","1","1","2","0.0022727272727273","0"
"2,9      (T26.9) Corrosion of eye and adnexa,
49       part unspecified","1","1","2","0.0022727272727273","0"
"2,9      (T63.0) Toxic effect of snake venom 50","1","1","2","0.0022727272727273","0"
"2,9      (S87.0) Crushing injury of knee 51","1","1","2","0.0022727272727273","0"
"2,9      (T17.3) Foreign body in larynx 52","0","2","2","0.0022727272727273","0"
"2,9      (S02.11) Fracture of base of skull, open 53","2","0","2","0.0022727272727273","0"
"2,9      (T28.0) Burn of mouth and pharynx 54","1","1","2","0.0022727272727273","0"
"2,9      (S86.8) Injury of other muscles and
55       tendons at lower leg level","2","0","2","0.0022727272727273","0"
"2,9      (T81.5) Foreign body accidentally left in
56       body cavity or operation wound following","1","1","2","0.0022727272727273","0"
"2,9      (T87.6) Other and unspecified
57       complications of amputation stump","2","0","2","0.0022727272727273","0"
"2,9      (S82.81) Fractures of other parts of
58       lower leg, open","1","1","2","0.0022727272727273","0"
"2,9      (S68.3) Combined traumatic amputation
59       of (part of) finger(s) with other parts of","0","2","2","0.0022727272727273","0"
"2,9      (N43.2) Other hydrocele 60","2","0","2","0.0022727272727273","0"
"2,9      (S89.7) Multiple injuries of lower leg 61","1","1","2","0.0022727272727273","0"
"2,9      (S40.0) Contusion of shoulder and upper
62       arm","2","0","2","0.0022727272727273","0"
"2,9      (T28.5) Corrosion of mouth and pharynx 63","1","1","2","0.0022727272727273","0"
"2,9      (T85.9) Unspecified complication of
64       internal prosthetic device, implant and","1","1","2","0.0022727272727273","0"
"2,9      (S29.8) Other specified injuries of thorax 65","0","2","2","0.0022727272727273","0"
"2,9      (P03.6) Fetus and newborn affected by
66       abnormal uterine contractions","0","2","2","0.0022727272727273","0"
"2,9      (M23.06) Cystic meniscus, other and
67       unspecified lateral meniscus","2","0","2","0.0022727272727273","0"
"2,9      (L51.2) Toxic epidermal necrolysis [Lyell] 68","0","2","2","0.0022727272727273","0"
"2,9      (M19.15) Post-traumatic arthrosis of
69       other joints, pelvic and thigh","1","1","2","0.0022727272727273","0"
"2,9      (E26.1) Secondary hyperaldosteronism 70","2","0","2","0.0022727272727273","0"
"2,9      (G93.2) Benign intracranial hypertension 71","1","1","2","0.0022727272727273","0"
"2,9      (F93.9) Childhood emotional disorder,
72       unspecified","2","0","2","0.0022727272727273","0"
"2,9      (K23.8) Disorders of oesophagus in
73       other diseases classified elsewhere","2","0","2","0.0022727272727273","0"
"2,9      (G71.0) Muscular dystrophy 74","1","1","2","0.0022727272727273","0"
"2,9      (H34.8) Other retinal vascular occlusions 75","2","0","2","0.0022727272727273","0"
"2,9      (I97.9) Postprocedural disorder of
76       circulatory system, unspecified","2","0","2","0.0022727272727273","0"
"2,9      (D52.0) Dietary folate deficiency
77       anaemia","0","2","2","0.0022727272727273","0"
"2,9      (D55.8) Other anaemias due to enzyme
78       disorders","1","1","2","0.0022727272727273","0"
"2,9      (H06.0) Disorders of lacrimal system in
79       diseases classified elsewhere","0","2","2","0.0022727272727273","0"
"2,9      (F93.2) Social anxiety disorder of
80       childhood","1","1","2","0.0022727272727273","0"
"2,9      (H11.2) Conjunctival scars 81","1","1","2","0.0022727272727273","0"
"2,9      (D29.0) Benign neoplasm of penis 82","2","0","2","0.0022727272727273","0"
"2,9      (A60.1) Herpesviral infection of perianal
83       skin and rectum","2","0","2","0.0022727272727273","0"
"2,9      (D68.3) Haemorrhagic disorder due to
84       circulating anticoagulants","1","1","2","0.0022727272727273","0"
"2,9      (D53.8) Other specified nutritional
85       anaemias","0","2","2","0.0022727272727273","0"
"2,9      (D62) Acute posthaemorrhagic anaemia 86","0","2","2","0.0022727272727273","0"
"2,9      (A51.4) Other secondary syphilis 87","2","0","2","0.0022727272727273","0"
"2,9      (Z35.7) Supervision of high-risk
88       pregnancy due to social problems","0","2","2","0.0022727272727273","0"
"2,9      (W07) Fall involving chair causing
89       accidental injury","1","1","2","0.0022727272727273","0"
"2,9      (Z80.3) Family history of malignant
90       neoplasm of breast","0","2","2","0.0022727272727273","0"
"2,9      (Z94.7) Corneal transplant status 91","0","2","2","0.0022727272727273","0"
"2,9      (Z28.2) Immunization not carried out
92       because of patient`s decision for other","1","1","2","0.0022727272727273","0"
"2,9      (Y35.7) Injury due to legal intervention,
93       means unspecified","2","0","2","0.0022727272727273","0"
"2,9      (S52.7) Multiple fractures of forearm 94","2","0","2","0.0022727272727273","0"
"2,9      (S02.1) Fracture of base of skull 95","2","0","2","0.0022727272727273","0"
"2,9      (S87.8) Crushing injury of other and
96       unspecified parts of lower leg","0","2","2","0.0022727272727273","0"
"2,9      (T88.8) Other specified complications of
97       surgical and medical care, not elsewhere","1","1","2","0.0022727272727273","0"
